Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
63,"AO Basile, A Yahi, NP Tatonetti","Artificial intelligence for drug toxicity and safety",2019,"Trends in pharmacological sciences","Elsevier","https://www.sciencedirect.com/science/article/pii/S0165614719301427","https://scholar.google.com/scholar?cites=15884058838447492452&as_sdt=2005&sciodt=2007&hl=en",1,"2022-03-26 14:20:05","","","","",,,,,63,21.00,21,3,3,"Interventional pharmacology is one of medicine's most potent weapons against disease. These drugs, however, can result in damaging side effects and must be closely monitored …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6710127/","https://scholar.google.com/scholar?q=related:ZA0RMVuDb9wJ:scholar.google.com/&scioq=author:%22nicholas+tatonetti%22&hl=en&as_sdt=2007"
62,"B Desanti De Oliveira, K Xu, TH Shen…","Molecular nephrology: types of acute tubular injury",2019,"Nature Reviews …","nature.com","https://www.nature.com/articles/s41581-019-0184-x","https://scholar.google.com/scholar?cites=5072283804187236948&as_sdt=2005&sciodt=2007&hl=en",2,"2022-03-26 14:20:05","","","","",,,,,62,20.67,16,4,3,"The acute loss of kidney function has been diagnosed for many decades using the serum concentration of creatinine—a muscle metabolite that is an insensitive and non-specific …","https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7303545/","https://scholar.google.com/scholar?q=related:VBqM7D5fZEYJ:scholar.google.com/&scioq=author:%22nicholas+tatonetti%22&hl=en&as_sdt=2007"
134,"X Sun, S Vilar, NP Tatonetti","High-throughput methods for combinatorial drug discovery",2013,"Science translational medicine","science.org","https://www.science.org/doi/abs/10.1126/scitranslmed.3006667","https://scholar.google.com/scholar?cites=14496609110330473669&as_sdt=2005&sciodt=2007&hl=en",3,"2022-03-26 14:20:05","","10.1126/scitranslmed.3006667","","",,,,,134,14.89,45,3,9,"A more nuanced approach to drug design is to use multiple drugs in combination to target interacting or complementary pathways. Drug combination treatments have shown higher …","","https://scholar.google.com/scholar?q=related:xXzw9C1NLskJ:scholar.google.com/&scioq=author:%22nicholas+tatonetti%22&hl=en&as_sdt=2007"
333,"M Zietz, J Zucker, NP Tatonetti","Associations between blood type and COVID-19 infection, intubation, and death",2020,"Nature communications","nature.com","https://www.nature.com/articles/s41467-020-19623-x","https://scholar.google.com/scholar?cites=14041624510937605066&as_sdt=2005&sciodt=2007&hl=en",4,"2022-03-26 14:20:05","HTML","","","",,,,,333,166.50,111,3,2,"The rapid global spread of the novel coronavirus SARS-CoV-2 has strained healthcare and testing resources, making the identification and prioritization of individuals most at-risk a …","https://www.nature.com/articles/s41467-020-19623-x","https://scholar.google.com/scholar?q=related:yqPa0xjf3cIJ:scholar.google.com/&scioq=author:%22nicholas+tatonetti%22&hl=en&as_sdt=2007"
810,"SJ Dixon, DN Patel, M Welsch, R Skouta, ED Lee…","Pharmacological inhibition of cystine–glutamate exchange induces endoplasmic reticulum stress and ferroptosis",2014,"elife","elifesciences.org","https://elifesciences.org/articles/2523","https://scholar.google.com/scholar?cites=8454785356011295979&as_sdt=2005&sciodt=2007&hl=en",5,"2022-03-26 14:20:05","","","","",,,,,810,101.25,135,6,8,"Exchange of extracellular cystine for intracellular glutamate by the antiporter system xc− is implicated in numerous pathologies. Pharmacological agents that inhibit system xc− activity …","https://elifesciences.org/articles/02523.pdf","https://scholar.google.com/scholar?q=related:61Q6ZXxuVXUJ:scholar.google.com/&scioq=author:%22nicholas+tatonetti%22&hl=en&as_sdt=2007"
161,"V Ramlall, PM Thangaraj, C Meydan, J Foox, D Butler…","Immune complement and coagulation dysfunction in adverse outcomes of SARS-CoV-2 infection",2020,"Nature medicine","nature.com","https://www.nature.com/articles/s41591-020-1021-2?from=article_link","https://scholar.google.com/scholar?cites=16965266837853494949&as_sdt=2005&sciodt=2007&hl=en",6,"2022-03-26 14:20:05","HTML","","","",,,,,161,80.50,27,6,2,"Understanding the pathophysiology of SARS-CoV-2 infection is critical for therapeutic and public health strategies. Viral–host interactions can guide discovery of disease regulators …","https://www.nature.com/articles/s41591-020-1021-2?from=article_link","https://scholar.google.com/scholar?q=related:pd74nU28cOsJ:scholar.google.com/&scioq=author:%22nicholas+tatonetti%22&hl=en&as_sdt=2007"
592,"NP Tatonetti, PP Ye, R Daneshjou…","Data-driven prediction of drug effects and interactions",2012,"Science translational …","science.org","https://www.science.org/doi/abs/10.1126/scitranslmed.3003377","https://scholar.google.com/scholar?cites=7096830056627692788&as_sdt=2005&sciodt=2007&hl=en",7,"2022-03-26 14:20:05","","10.1126/scitranslmed.3003377","","",,,,,592,59.20,148,4,10,"Adverse drug events remain a leading cause of morbidity and mortality around the world. Many adverse events are not detected during clinical trials before a drug receives approval …","https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3382018/","https://scholar.google.com/scholar?q=related:9OSb_FUBfWIJ:scholar.google.com/&scioq=author:%22nicholas+tatonetti%22&hl=en&as_sdt=2007"
49,"D Butler, C Mozsary, C Meydan, J Foox…","Shotgun transcriptome, spatial omics, and isothermal profiling of SARS-CoV-2 infection reveals unique host responses, viral diversification, and drug …",2021,"Nature …","nature.com","https://www.nature.com/articles/s41467-021-21361-7","https://scholar.google.com/scholar?cites=15981578457916895291&as_sdt=2005&sciodt=2007&hl=en",8,"2022-03-26 14:20:05","HTML","","","",,,,,49,49.00,10,5,1,"In less than nine months, the Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) killed over a million people, including> 25,000 in New York City (NYC) alone. The …","https://www.nature.com/articles/s41467-021-21361-7","https://scholar.google.com/scholar?q=related:O_Ar9u74yd0J:scholar.google.com/&scioq=author:%22nicholas+tatonetti%22&hl=en&as_sdt=2007"
240,"RW White, NP Tatonetti, NH Shah…","Web-scale pharmacovigilance: listening to signals from the crowd",2013,"Journal of the …","academic.oup.com","https://academic.oup.com/jamia/article-abstract/20/3/404/740201","https://scholar.google.com/scholar?cites=11093704460083137545&as_sdt=2005&sciodt=2007&hl=en",9,"2022-03-26 14:20:05","","","","",,,,,240,26.67,60,4,9,"Adverse drug events cause substantial morbidity and mortality and are often discovered after a drug comes to market. We hypothesized that Internet users may provide early clues …","https://academic.oup.com/jamia/article/20/3/404/740201","https://scholar.google.com/scholar?q=related:CQxs8m3B9JkJ:scholar.google.com/&scioq=author:%22nicholas+tatonetti%22&hl=en&as_sdt=2007"
251,"MA Perera, LH Cavallari, NA Limdi, ER Gamazon…","Genetic variants associated with warfarin dose in African-American individuals: a genome-wide association study",2013,"The Lancet","Elsevier","https://www.sciencedirect.com/science/article/pii/S0140673613606819","https://scholar.google.com/scholar?cites=16345370499527645621&as_sdt=2005&sciodt=2007&hl=en",10,"2022-03-26 14:20:05","HTML","","","",,,,,251,27.89,50,5,9,"Summary Background VKORC1 and CYP2C9 are important contributors to warfarin dose variability, but explain less variability for individuals of African descent than for those of …","https://www.sciencedirect.com/science/article/pii/S0140673613606819","https://scholar.google.com/scholar?q=related:tZl-Kt5r1uIJ:scholar.google.com/&scioq=author:%22nicholas+tatonetti%22&hl=en&as_sdt=2007"
225,"NP Tatonetti, JC Denny, SN Murphy…","Detecting drug interactions from adverse‐event reports: interaction between paroxetine and pravastatin increases blood glucose levels",2011,"Clinical …","Wiley Online Library","https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1038/clpt.2011.83","https://scholar.google.com/scholar?cites=15159149220015958746&as_sdt=2005&sciodt=2007&hl=en",11,"2022-03-26 14:20:05","","10.1038/clpt.2011.83","","",,,,,225,20.45,56,4,11,"The lipid‐lowering agent pravastatin and the antidepressant paroxetine are among the most widely prescribed drugs in the world. Unexpected interactions between them could have …","https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3216673/","https://scholar.google.com/scholar?q=related:2uowJOYdYNIJ:scholar.google.com/&scioq=author:%22nicholas+tatonetti%22&hl=en&as_sdt=2007"
191,"NP Tatonetti, GH Fernald…","A novel signal detection algorithm for identifying hidden drug-drug interactions in adverse event reports",2012,"Journal of the American …","academic.oup.com","https://academic.oup.com/jamia/article-abstract/19/1/79/2909174","https://scholar.google.com/scholar?cites=447913949433270641&as_sdt=2005&sciodt=2007&hl=en",12,"2022-03-26 14:20:05","","","","",,,,,191,19.10,64,3,10,"Abstract Objective Adverse drug events (ADEs) are common and account for 770 000 injuries and deaths each year and drug interactions account for as much as 30% of these …","https://academic.oup.com/jamia/article/19/1/79/2909174","https://scholar.google.com/scholar?q=related:cZHpJV1PNwYJ:scholar.google.com/&scioq=author:%22nicholas+tatonetti%22&hl=en&as_sdt=2007"
82,"DJ Butler, C Mozsary, C Meydan, D Danko, J Foox…","Shotgun transcriptome and isothermal profiling of SARS-CoV-2 infection reveals unique host responses, viral diversification, and drug interactions",2020,"BioRxiv","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7255793/","https://scholar.google.com/scholar?cites=6111974531806378020&as_sdt=2005&sciodt=2007&hl=en",13,"2022-03-26 14:20:05","HTML","","","",,,,,82,41.00,14,6,2,"Abstract The Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) has caused thousands of deaths worldwide, including> 18,000 in New York City (NYC) alone. The …","https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7255793/","https://scholar.google.com/scholar?q=related:JLiNPHQY0lQJ:scholar.google.com/&scioq=author:%22nicholas+tatonetti%22&hl=en&as_sdt=2007"
139,"S Vilar, E Uriarte, L Santana, T Lorberbaum…","Similarity-based modeling in large-scale prediction of drug-drug interactions",2014,"Nature protocols","nature.com","https://www.nature.com/articles/nprot.2014.151","https://scholar.google.com/scholar?cites=13312570782422577719&as_sdt=2005&sciodt=2007&hl=en",14,"2022-03-26 14:20:05","","","","",,,,,139,17.38,28,5,8,"Drug-drug interactions (DDIs) are a major cause of adverse drug effects and a public health concern, as they increase hospital care expenses and reduce patients' quality of life. DDI …","https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4422192/","https://scholar.google.com/scholar?q=related:N7KK9ZfAv7gJ:scholar.google.com/&scioq=author:%22nicholas+tatonetti%22&hl=en&as_sdt=2007"
132,"S Ayvaz, J Horn, O Hassanzadeh, Q Zhu, J Stan…","Toward a complete dataset of drug–drug interaction information from publicly available sources",2015,"Journal of biomedical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1532046415000738","https://scholar.google.com/scholar?cites=1036264941969173793&as_sdt=2005&sciodt=2007&hl=en",15,"2022-03-26 14:20:05","HTML","","","",,,,,132,18.86,22,6,7,"Although potential drug–drug interactions (PDDIs) are a significant source of preventable drug-related harm, there is currently no single complete source of PDDI information. In the …","https://www.sciencedirect.com/science/article/pii/S1532046415000738","https://scholar.google.com/scholar?q=related:IW1Db3mNYQ4J:scholar.google.com/&scioq=author:%22nicholas+tatonetti%22&hl=en&as_sdt=2007"
122,"K Shameer, KW Johnson, A Yahi, R Miotto…","Predictive modeling of hospital readmission rates using electronic medical record-wide machine learning: a case-study using Mount Sinai heart failure cohort",2017,"Pacific Symposium on …","World Scientific","https://www.worldscientific.com/doi/abs/10.1142/9789813207813_0027","https://scholar.google.com/scholar?cites=827755383381557468&as_sdt=2005&sciodt=2007&hl=en",16,"2022-03-26 14:20:05","","10.1142/9789813207813_0027","","",,,,,122,24.40,24,5,5,"Reduction of preventable hospital readmissions that result from chronic or acute conditions like stroke, heart failure, myocardial infarction and pneumonia remains a significant …","https://www.worldscientific.com/doi/pdf/10.1142/9789813207813_0027","https://scholar.google.com/scholar?q=related:3ABgsyLHfAsJ:scholar.google.com/&scioq=author:%22nicholas+tatonetti%22&hl=en&as_sdt=2007"
117,"MR Boland, Z Shahn, D Madigan…","Birth month affects lifetime disease risk: a phenome-wide method",2015,"Journal of the …","academic.oup.com","https://academic.oup.com/jamia/article-abstract/22/5/1042/930268","https://scholar.google.com/scholar?cites=14761735070424471851&as_sdt=2005&sciodt=2007&hl=en",17,"2022-03-26 14:20:05","","","","",,,,,117,16.71,29,4,7,"Objective An individual's birth month has a significant impact on the diseases they develop during their lifetime. Previous studies reveal relationships between birth month and several …","https://academic.oup.com/jamia/article/22/5/1042/930268","https://scholar.google.com/scholar?q=related:K5kT5dU33MwJ:scholar.google.com/&scioq=author:%22nicholas+tatonetti%22&hl=en&as_sdt=2007"
