Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"T. Shen, J. Stauber, Katherine Xu, A. Jacunski, N. Paragas, M. Callahan, Run Banlengchit, A. Levitman, Beatriz Desanti De Oliveira, A. Beenken, M. Grau, Edwin Mathieu, Qingyin Zhang, Yuanji Li, Tejashree Gopal, Nathaniel Askanase, S. Arumugam, S. Mohan, Pamela I Good, J. Stevens, F. Lin, S. Sia, Chyuan-Sheng Lin, V. D’Agati, K. Kiryluk, N. Tatonetti, J. Barasch","Snapshots of nascent RNA reveal cell- and stimulus- specific responses to acute kidney injury.",2022,"","","","",40,"2022-03-26 15:21:29","","10.1172/jci.insight.146374","","",,,,,0,0.00,0,27,1,"The current strategy to detect acute injury of kidney tubular cells relies on changes in serum levels of creatinine. Yet serum creatinine (sCr) is a marker of both functional and pathological processes and does not specifically assay tubular injury. In addition, sCr may require days to reach diagnostic thresholds, yet tubular cells respond with programs of damage and repair within minutes or hours. To detect acute responses to clinically relevant stimuli, we created Rosa26-floxed-stop uracil phosphoribosyl-transferase (Uprt) expressing mice and inoculated 4-thiouracil (TU) to tag nascent RNA at selected time points. Cre-driven TU-tagged RNA was isolated from whole kidneys and demonstrated that volume depletion and ischemia induced different genetic programs. Even lineage related cell types expressed different genes in response to the two stressors. TU-tagging also demonstrated the transient nature of the responses. Because we placed Uprt in the ubiquitously active Rosa-26 locus, RNAs from many cell types can be tagged in vivo and their roles interrogated under various conditions. In short, TU labeling identifies stimulus-specific, cell-specific, and time-dependent acute responses that are otherwise difficult to detect with other technologies and are entirely obscured when sCr is the sole metric of kidney damage.","",""
1,"Jiwoon Park, Jonathan Foox, T. Hether, D. Danko, S. Warren, Youngmi Kim, J. Reeves, D. Butler, Christopher Mozsary, J. Rosiene, Alon Shaiber, Evan E. Afshin, M. Mackay, André F. Rendeiro, Y. Bram, Vasuretha Chandar, Heather Geiger, A. Craney, P. Velu, A. Melnick, I. Hajirasouliha, A. Beheshti, Deanne M. Taylor, Amanda M. Saravia-Butler, Urminder Singh, E. Wurtele, J. Schisler, S. Fennessey, A. Corvelo, M. Zody, S. Germer, S. Salvatore, Shawn Levy, Shixiu Wu, N. Tatonetti, S. Shapira, M. Salvatore, L. Westblade, M. Cushing, H. Rennert, A. Kriegel, O. Elemento, M. Imieliński, C. Rice, A. Borczuk, Cem Meydan, R. Schwartz, Christopher E. Mason","System-wide transcriptome damage and tissue identity loss in COVID-19 patients",2022,"","","","",53,"2022-03-26 15:21:29","","10.1016/j.xcrm.2022.100522","","",,,,,1,1.00,0,48,1,"","",""
3,"N. Giangreco, N. Tatonetti","Evaluating risk detection methods to uncover ontogenic-mediated adverse drug effect mechanisms in children",2021,"","","","",13,"2022-03-26 15:21:29","","10.1101/2021.03.10.21253302","","",,,,,3,3.00,2,2,1,"Background: Identifying adverse drugs effects (ADEs) in children is essential for preventing disability and death from marketed drugs. At the same time, however, detection is challenging due to dynamic biological processes during growth and maturation, called ontogeny, that alter pharmacokinetics and pharmacodynamics. As a result, current data mining methodologies have been limited to event surveillance and have not focused on investigating adverse event mechanisms. There is an opportunity to design data mining methodologies to identify and evaluate drug event patterns within observational databases for ontogenic-mediated adverse event mechanisms. The first step of which is to establish statistical models that can identify temporal trends of adverse effects across childhood. Results: Using simulation, we evaluated a population stratification method (the proportional reporting ratio or PRR) and a population modeling method (the generalized additive model or GAM) to identify and quantify ADE risk at varying reporting rates and dynamics. We found that GAMs showed improved performance over the PRR in detecting dynamic drug event reporting across child developmental stages. Moreover, GAMs exhibited normally distributed and robust ADE risk estimation at all development stages by sharing information across child development stages. Conclusions: Our study underscores the opportunity for using population modeling techniques, which leverages drug event reporting across development stages, to identify adverse drug effect risk resulting from ontogenic mechanisms.","",""
1,"N. Tatonetti, N. Elhadad","Fine-scale genetic ancestry as a potential new tool for precision medicine.",2021,"","","","",15,"2022-03-26 15:21:29","","10.1038/s41591-021-01405-7","","",,,,,1,1.00,1,2,1,"","",""
1,"N. Giangreco, N. Tatonetti","Evaluating risk detection methods to uncover ontogenic-mediated adverse drug effect mechanisms in children",2021,"","","","",16,"2022-03-26 15:21:29","","10.1186/s13040-021-00264-9","","",,,,,1,1.00,1,2,1,"Background Identifying adverse drugs effects (ADEs) in children, overall and within pediatric age groups, is essential for preventing disability and death from marketed drugs. At the same time, however, detection is challenging due to dynamic biological processes during growth and maturation, called ontogeny, that alter pharmacokinetics and pharmacodynamics. As a result, methodologies in pediatric drug safety have been limited to event surveillance and have not focused on investigating adverse event mechanisms. There is an opportunity to identify drug event patterns within observational databases for evaluating ontogenic-mediated adverse event mechanisms. The first step of which is to establish statistical models that can identify temporal trends of adverse effects across childhood. Results Using simulation, we evaluated a population stratification method (the proportional reporting ratio or PRR) and a population modeling method (the generalized additive model or GAM) to identify and quantify ADE risk at varying reporting rates and dynamics. We found that GAMs showed improved performance over the PRR in detecting dynamic drug event reporting across child development stages. Moreover, GAMs exhibited normally distributed and robust ADE risk estimation at all development stages by sharing information across child development stages. Conclusions Our study underscores the opportunity for using population modeling techniques, which leverage drug event reporting across development stages, as biologically-inspired detection methods for evaluating ontogenic mechanisms.","",""
1,"S. P. Mcgrath, Mary Lauren Benton, Maryam Tavakoli, N. Tatonetti","Predictions, Pivots, and a Pandemic: a Review of 2020's Top Translational Bioinformatics Publications",2021,"","","","",17,"2022-03-26 15:21:29","","10.1055/s-0041-1726540","","",,,,,1,1.00,0,4,1,"Summary Objectives: Provide an overview of the emerging themes and notable papers which were published in 2020 in the field of Bioinformatics and Translational Informatics (BTI) for the International Medical Informatics Association Yearbook. Methods: A team of 16 individuals scanned the literature from the past year. Using a scoring rubric, papers were evaluated on their novelty, importance, and objective quality. 1,224 Medical Subject Headings (MeSH) terms extracted from these papers were used to identify themes and research focuses. The authors then used the scoring results to select notable papers and trends presented in this manuscript. Results: The search phase identified 263 potential papers and central themes of coronavirus disease 2019 (COVID-19), machine learning, and bioinformatics were examined in greater detail. Conclusions: When addressing a once in a centruy pandemic, scientists worldwide answered the call, with informaticians playing a critical role. Productivity and innovations reached new heights in both TBI and science, but significant research gaps remain.","",""
1,"Diana Samaroo, M. Zahran, A. Wills, Johnny Guevara, Alexandra Tatonetti","In vitro interaction and computational studies of glycosylated photosensitizers with plasma proteins",2021,"","","","",18,"2022-03-26 15:21:29","","10.1142/9789811223556_0020","","",,,,,1,1.00,0,5,1,"","",""
0,"Gbohunmi Paul Idowu, E. Obuotor, F. Onajobi","In vitro and in silico investigation of cholinesterase inhibition and anti‐radical properties of Solanum macrocarpon leaf extracts: A preliminary anti‐Alzheimer's study",2021,"","","","",19,"2022-03-26 15:21:29","","10.1002/alz.049605","","",,,,,0,0.00,0,3,1,"Alzheimer's disease (AD) is an age‐associated, progressive neurodegenerative disease characterized by decline in cognitive function. There is presently no cure for AD and the currently used drugs have limited efficacy. Cholinergic enzyme inhibition, oxidative stress and neuroinflammation have been growing areas of research in the pharmacological management of AD (Simunkova et al., 2019). Furthermore, computational approaches have been instrumental in designing and discovering new drugs for several diseases (Romano & Tatonetti, 2018). Solanum macrocarpon L. (eggplant) is a specie of African ancestry reported to be an ethno‐ medicinal plant that improves memory (Ogunsuyi et al., 2018). This study therefore investigated the antioxidant and acetylcholinesterase (AChE) inhibitory potential of S. macrocarpon leaf extracts, identified active compound(s) and explored their enzyme‐ligand interactions using In silico approaches to discover new functional leads for AD.","",""
0,"N. Giangreco, N. Tatonetti","A database of pediatric drug effects to evaluate ontogenic mechanisms from child growth and development",2021,"","","","",22,"2022-03-26 15:21:29","","10.1101/2021.07.15.21260602","","",,,,,0,0.00,0,2,1,"Adverse drugs effects (ADEs) in children are common and may result in disability and death. However, current pediatric drug safety methods have not gone beyond event surveillance to identify and evaluate potential biological mechanisms. Children undergo an evolutionarily conserved and physiologically dynamic process of growth and maturation that can alter pharmacokinetics and pharmacodynamics. Our hypothesis is that temporal patterns of drug event reporting are reflective of dynamic mechanisms from child growth and development. We generated a database of 460,837 pediatric ADEs using generalized additive models (GAMs) that we have previously shown identify dynamic risk estimates of adverse drug events. We identified 19,438 significant drug-event risks where drug risks corresponded with physiological development throughout childhood. Our results identified known pediatric drug effects and risk dynamics across child development that were not known previously. For example, we identified significant risk dynamics of montelukast-induced psychiatric disorders, including enriched risk (Odds Ratio 8.77 [2.51, 46.94]) within the second year of life. We developed a data-driven time-series clustering approach resulting in up to 95.2% precision and 97.8% sensitivity for categorizing risk dynamics across development stages for all ADEs including known but previously development-agnostic pediatric drug effects. We found that our real-world evidence may contain biologically-relevant underpinnings as well, where risk dynamics of CYP enzyme substrates were dependent on the enzyme's expression across childhood. We curated this database for the research community to enable, for the first time, evaluation of real-world hypotheses of adverse drug effects across child growth and development.","",""
0,"Lisa Tatonetti","Written by the Body: Gender Expansiveness and Indigenous Non-Cis Masculinities",2021,"","","","",23,"2022-03-26 15:21:29","","","","",,,,,0,0.00,0,1,1,"","",""
